Reference, Value, Footprint, Datasheet
"U1","ATMEGA32-16PU","Housings_QFP:TQFP-44_10x10mm_Pitch0.8mm",""
"U3","ENC28J60-I/SP","Housings_SOIC:SOIC-28W_7.5x17.9mm_Pitch1.27mm",""
"C17","470uF","Capacitors_SMD:CP_Elec_8x10",""
"C19","10uF","Capacitors_SMD:CP_Elec_4x5.3",""
"R18","50","Resistors_SMD:R_1206_HandSoldering",""
"D7","GREEN","LEDs:LED_1206_HandSoldering",""
"U5","LF33_TO220","TO_SOT_Packages_THT:TO-220-3_Vertical",""
"R16","270","Resistors_SMD:R_1206_HandSoldering",""
"R17","270","Resistors_SMD:R_1206_HandSoldering",""
"R14","50","Resistors_SMD:R_1206_HandSoldering",""
"R15","50","Resistors_SMD:R_1206_HandSoldering",""
"C15","100nF","Capacitors_SMD:C_1206_HandSoldering",""
"R12","50","Resistors_SMD:R_1206_HandSoldering",""
"R13","50","Resistors_SMD:R_1206_HandSoldering",""
"C14","100nF","Capacitors_SMD:C_1206_HandSoldering",""
"L2","10uH","Inductors_SMD:L_1206_HandSoldering",""
"Y2","25MHZ","Crystals:Crystal_HC49-U_Vertical",""
"C9","22pF","Capacitors_SMD:C_1206_HandSoldering",""
"C10","22pF","Capacitors_SMD:C_1206_HandSoldering",""
"R8","10K","Resistors_SMD:R_1206_HandSoldering",""
"R9","10K","Resistors_SMD:R_1206_HandSoldering",""
"C11","10uF","Capacitors_SMD:CP_Elec_4x5.3",""
"R11","2K7","Resistors_SMD:R_1206_HandSoldering",""
"C18","100nF","Capacitors_SMD:C_1206_HandSoldering",""
"C16","100nF","Capacitors_SMD:C_1206_HandSoldering",""
"C8","100nF","Capacitors_SMD:C_1206_HandSoldering",""
"Y1","16MHZ","Crystals:Crystal_HC49-U_Vertical",""
"C2","22pF","Capacitors_SMD:C_1206_HandSoldering",""
"C3","22pF","Capacitors_SMD:C_1206_HandSoldering",""
"CON1","AVR-ISP-10","Pin_Headers:Pin_Header_Straight_2x05_Pitch2.54mm",""
"R2","10K","Resistors_SMD:R_1206_HandSoldering",""
"SW1","SW_Push","Buttons_Switches_THT:SW_PUSH_6mm_h13mm",""
"J2","Conn_01x08","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm",""
"C4","100nF","Capacitors_SMD:C_1206_HandSoldering",""
"L1","10uH","Inductors_SMD:L_1206_HandSoldering",""
"D2","RED","LEDs:LED_1206_HandSoldering",""
"D3","BLUE","LEDs:LED_1206_HandSoldering",""
"R3","270","Resistors_SMD:R_1206_HandSoldering",""
"R4","270","Resistors_SMD:R_1206_HandSoldering",""
"J13","RJ45-08B01X1T06-F","Connectors:RJ45-08B01X1T06-F",""
"R10","270","Resistors_SMD:R_1206_HandSoldering",""
"U2","MAX485E","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"C13","100nF","Capacitors_SMD:C_1206_HandSoldering",""
"C12","470uF","Capacitors_SMD:CP_Elec_8x10",""
"J6","Conn_01x03","Connectors:BARREL_JACK",""
"JP1","Jumper","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"R6","120","Resistors_SMD:R_1206_HandSoldering",""
"R5","560","Resistors_SMD:R_1206_HandSoldering",""
"R7","560","Resistors_SMD:R_1206_HandSoldering",""
"C5","100nF","Capacitors_SMD:C_1206_HandSoldering",""
"C6","100nF","Capacitors_SMD:C_1206_HandSoldering",""
"C7","100nF","Capacitors_SMD:C_1206_HandSoldering",""
"J1","Conn_01x08","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm",""
"U4","L7805","TO_SOT_Packages_THT:TO-220-3_Vertical",""
"D6","1N4004","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"D5","1N4004","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"D4","1N4004","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"R1","330","Resistors_SMD:R_1206_HandSoldering",""
"C1","100nF","Capacitors_SMD:C_1206_HandSoldering",""
"J3","Conn_01x05","Pin_Headers:Pin_Header_Straight_1x05_Pitch2.54mm",""
"J10","Conn_01x04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"J12","Conn_01x04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"J7","Conn_01x08","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm",""
"J4","RJ45","Connectors:RJ45_8",""
"J5","RJ45","Connectors:RJ45_8",""
"J9","RJ45","Connectors:RJ45_8",""
"J11","RJ45","Connectors:RJ45_8",""
"D1","1N4004","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"C20","100nF","Capacitors_SMD:C_1206_HandSoldering",""
"J8","RJ45","Connectors:RJ45_8",""
